,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200,cnpj_basico
0,AC,105,Sem Parceria,0,0,0,0,0,1,37
1,AC,105,Sem Parceria,0,0,0,0,1,0,1
2,AC,105,Sem Parceria,0,0,0,1,0,0,4
3,AC,105,Sem Parceria,0,0,0,1,1,0,2
4,AC,105,Sem Parceria,0,0,1,0,0,0,26
5,AC,105,Sem Parceria,0,1,0,0,0,0,15
6,AC,105,Sem Parceria,0,1,0,0,0,1,1
7,AC,105,Sem Parceria,0,1,0,1,0,0,1
8,AC,105,Sem Parceria,1,0,0,0,0,0,8
9,AC,105,Sem Parceria,1,0,0,0,1,0,1
10,AC,105,Sem Parceria,1,0,0,0,1,1,1
11,AC,105,Sem Parceria,1,0,0,1,0,1,1
12,AC,105,Sem Parceria,1,0,1,0,0,0,4
13,AC,105,Sem Parceria,1,1,0,0,0,0,17
14,AC,105,Sem Parceria,1,1,0,0,0,1,5
15,AC,105,Sem Parceria,1,1,0,1,0,0,1
16,AC,107,Sem Parceria,0,0,0,0,0,1,121
17,AC,107,Sem Parceria,0,0,0,0,1,0,2
18,AC,107,Sem Parceria,0,0,0,1,0,0,2
19,AC,107,Sem Parceria,0,0,0,1,1,0,11
20,AC,107,Sem Parceria,0,0,1,0,0,0,44
21,AC,107,Sem Parceria,0,0,1,0,0,1,3
22,AC,107,Sem Parceria,0,0,1,0,1,0,1
23,AC,107,Sem Parceria,0,1,0,0,0,0,15
24,AC,107,Sem Parceria,0,1,0,0,0,1,2
25,AC,107,Sem Parceria,1,0,0,0,0,0,30
26,AC,107,Sem Parceria,1,0,0,0,0,1,7
27,AC,107,Sem Parceria,1,0,0,0,1,0,1
28,AC,107,Sem Parceria,1,0,1,0,0,0,2
29,AC,107,Sem Parceria,1,0,1,0,1,0,1
30,AC,107,Sem Parceria,1,1,0,0,0,0,6
31,AC,107,Sem Parceria,1,1,0,0,0,1,2
32,AC,109,Sem Parceria,0,0,0,0,0,1,2
33,AC,109,Sem Parceria,0,0,0,1,0,0,1
34,AC,109,Sem Parceria,0,0,1,0,0,0,1
35,AC,109,Sem Parceria,1,0,0,0,0,0,1
36,AC,109,Sem Parceria,1,1,0,0,0,0,1
37,AC,113,Sem Parceria,0,0,0,0,0,1,12
38,AC,113,Sem Parceria,0,0,0,0,1,0,1
39,AC,113,Sem Parceria,0,0,0,1,0,0,1
40,AC,113,Sem Parceria,0,0,1,0,0,0,10
41,AC,113,Sem Parceria,0,1,0,0,0,0,10
42,AC,113,Sem Parceria,0,1,0,0,0,1,1
43,AC,113,Sem Parceria,1,0,0,0,0,0,6
44,AC,113,Sem Parceria,1,1,0,0,0,0,9
45,AC,113,Sem Parceria,1,1,0,0,0,1,3
46,AC,139,Parceiros,1,0,0,0,0,0,1
47,AC,139,Parceiros,1,0,0,0,1,0,1
48,AC,139,Sem Parceria,0,0,0,0,0,1,809
49,AC,139,Sem Parceria,0,0,0,0,1,0,16
50,AC,139,Sem Parceria,0,0,0,0,1,1,2
51,AC,139,Sem Parceria,0,0,0,1,0,0,28
52,AC,139,Sem Parceria,0,0,0,1,0,1,2
53,AC,139,Sem Parceria,0,0,0,1,1,0,7
54,AC,139,Sem Parceria,0,0,1,0,0,0,401
55,AC,139,Sem Parceria,0,0,1,0,0,1,9
56,AC,139,Sem Parceria,0,0,1,0,1,0,6
57,AC,139,Sem Parceria,0,0,1,1,0,0,2
58,AC,139,Sem Parceria,0,0,1,1,1,0,2
59,AC,139,Sem Parceria,0,1,0,0,0,0,75
60,AC,139,Sem Parceria,0,1,0,0,0,1,18
61,AC,139,Sem Parceria,0,1,0,1,0,0,3
62,AC,139,Sem Parceria,0,1,1,0,0,0,4
63,AC,139,Sem Parceria,0,1,1,0,0,1,1
64,AC,139,Sem Parceria,1,0,0,0,0,0,89
65,AC,139,Sem Parceria,1,0,0,0,0,1,10
66,AC,139,Sem Parceria,1,0,0,0,1,0,6
67,AC,139,Sem Parceria,1,0,0,0,1,1,1
68,AC,139,Sem Parceria,1,0,0,1,0,0,4
69,AC,139,Sem Parceria,1,0,0,1,0,1,1
70,AC,139,Sem Parceria,1,0,0,1,1,0,3
71,AC,139,Sem Parceria,1,0,1,0,0,0,22
72,AC,139,Sem Parceria,1,0,1,0,0,1,4
73,AC,139,Sem Parceria,1,0,1,0,1,0,3
74,AC,139,Sem Parceria,1,0,1,0,1,1,2
75,AC,139,Sem Parceria,1,0,1,1,1,0,2
76,AC,139,Sem Parceria,1,1,0,0,0,0,51
77,AC,139,Sem Parceria,1,1,0,0,0,1,12
78,AC,139,Sem Parceria,1,1,0,0,1,0,1
79,AC,139,Sem Parceria,1,1,0,1,0,0,4
80,AC,139,Sem Parceria,1,1,0,1,0,1,1
81,AC,139,Sem Parceria,1,1,0,1,1,0,1
82,AC,139,Sem Parceria,1,1,0,1,1,1,1
83,AC,139,Sem Parceria,1,1,1,0,0,1,1
84,AC,145,Sem Parceria,0,0,0,0,0,1,21
85,AC,145,Sem Parceria,0,0,0,1,0,0,2
86,AC,145,Sem Parceria,0,0,1,0,0,0,12
87,AC,145,Sem Parceria,0,0,1,0,1,0,2
88,AC,145,Sem Parceria,0,1,0,0,0,0,16
89,AC,145,Sem Parceria,0,1,0,0,0,1,1
90,AC,145,Sem Parceria,1,0,0,0,0,0,4
91,AC,145,Sem Parceria,1,0,0,0,0,1,1
92,AC,145,Sem Parceria,1,0,0,1,0,0,1
93,AC,145,Sem Parceria,1,0,1,0,0,0,3
94,AC,145,Sem Parceria,1,1,0,0,0,0,3
95,AC,145,Sem Parceria,1,1,0,1,0,0,1
96,AC,147,Sem Parceria,0,0,0,0,0,1,10
97,AC,147,Sem Parceria,0,0,0,1,0,0,1
98,AC,147,Sem Parceria,0,0,1,0,0,0,4
99,AC,147,Sem Parceria,0,0,1,0,1,0,1
100,AC,147,Sem Parceria,0,1,0,0,0,0,4
101,AC,147,Sem Parceria,1,0,0,0,0,0,21
102,AC,147,Sem Parceria,1,0,0,0,0,1,1
103,AC,147,Sem Parceria,1,0,1,0,0,0,2
104,AC,147,Sem Parceria,1,1,0,0,0,0,5
105,AC,147,Sem Parceria,1,1,0,1,0,0,1
106,AC,149,Sem Parceria,0,0,0,0,0,1,5
107,AC,149,Sem Parceria,0,0,0,1,0,0,1
108,AC,149,Sem Parceria,0,0,1,0,0,0,1
109,AC,149,Sem Parceria,0,1,0,0,0,0,9
110,AC,149,Sem Parceria,1,0,0,0,0,0,5
111,AC,149,Sem Parceria,1,0,0,0,0,1,2
112,AC,149,Sem Parceria,1,0,0,1,0,0,1
113,AC,149,Sem Parceria,1,1,0,0,0,0,11
114,AC,151,Sem Parceria,0,0,0,0,0,1,3
115,AC,151,Sem Parceria,0,0,0,1,1,0,3
116,AC,151,Sem Parceria,0,0,1,0,0,0,5
117,AC,151,Sem Parceria,0,1,0,0,0,0,2
118,AC,151,Sem Parceria,0,1,0,0,0,1,1
119,AC,151,Sem Parceria,0,1,1,0,0,0,1
120,AC,151,Sem Parceria,1,0,0,0,0,0,2
121,AC,151,Sem Parceria,1,1,0,0,0,0,14
122,AC,151,Sem Parceria,1,1,0,1,0,0,1
123,AC,153,Sem Parceria,0,0,0,0,0,1,8
124,AC,153,Sem Parceria,0,0,0,0,1,0,1
125,AC,153,Sem Parceria,0,0,0,1,0,0,4
126,AC,153,Sem Parceria,0,0,1,0,0,0,11
127,AC,153,Sem Parceria,0,0,1,0,1,0,1
128,AC,153,Sem Parceria,0,1,0,0,0,0,5
129,AC,153,Sem Parceria,0,1,0,0,0,1,1
130,AC,153,Sem Parceria,1,0,0,0,0,0,4
131,AC,153,Sem Parceria,1,0,1,0,0,0,1
132,AC,153,Sem Parceria,1,1,0,0,0,0,1
133,AC,155,Sem Parceria,0,0,0,0,0,1,2
134,AC,155,Sem Parceria,0,0,0,0,1,0,1
135,AC,155,Sem Parceria,0,0,0,1,0,0,3
136,AC,155,Sem Parceria,0,0,1,1,1,0,1
137,AC,155,Sem Parceria,0,1,0,0,0,0,5
138,AC,155,Sem Parceria,1,0,0,0,0,0,2
139,AC,157,Sem Parceria,0,0,0,0,0,1,2
140,AC,157,Sem Parceria,0,0,0,0,1,0,1
141,AC,157,Sem Parceria,0,0,0,1,0,0,4
142,AC,157,Sem Parceria,0,0,1,0,0,0,2
143,AC,157,Sem Parceria,0,1,0,0,0,0,2
144,AC,157,Sem Parceria,1,0,0,0,0,0,2
145,AC,157,Sem Parceria,1,1,0,0,0,0,2
146,AC,643,Sem Parceria,0,0,0,0,0,1,2
147,AC,643,Sem Parceria,0,0,0,0,1,0,1
148,AC,643,Sem Parceria,0,0,0,1,0,0,1
149,AC,643,Sem Parceria,0,0,0,1,1,0,1
150,AC,643,Sem Parceria,0,0,1,0,0,0,12
151,AC,643,Sem Parceria,0,1,0,0,0,0,4
152,AC,643,Sem Parceria,0,1,0,0,0,1,1
153,AC,643,Sem Parceria,1,0,0,0,0,0,2
154,AC,643,Sem Parceria,1,1,0,0,0,0,7
155,AC,643,Sem Parceria,1,1,0,0,0,1,1
156,AC,643,Sem Parceria,1,1,0,1,0,0,1
157,AC,645,Sem Parceria,0,0,0,0,0,1,8
158,AC,645,Sem Parceria,0,0,0,0,1,0,1
159,AC,645,Sem Parceria,0,0,0,1,0,0,1
160,AC,645,Sem Parceria,0,0,1,0,0,0,7
161,AC,645,Sem Parceria,0,1,0,0,0,0,1
162,AC,645,Sem Parceria,0,1,0,0,0,1,1
163,AC,645,Sem Parceria,1,1,0,0,0,0,2
164,AC,647,Sem Parceria,0,0,0,1,0,0,1
