,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
1397,COOPERCITRUS,45236791,113,98,4683400,"0161003,4520001,4530703,4530705,4623109,4644302,4649499,4661300,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789004,4789005,4789099,5211701,5211799,7120100,7490103,7490104,7500100,8230001",SP,6119,Parceiros,1,1,0,0,0,0
1657,AGRO SERVICE,24139079,1,2,4683400,"4789005,7490103,4622200,4632001,4623106,7112000,4661300,4781400",RS,8975,Parceiros,1,1,0,0,0,0
1688,MAMORE MAQUINAS AGRICOLAS,19614838,4,46,4661300,"4662100,4732600,4744001,4781400,4729699,2950600,3314711,4614100,4530705,7731400,7719599",RO,7,Parceiros,1,0,0,1,0,0
1797,AGRIPECAS MAQUINAS AGRICOLAS,17165939,2,90,4661300,"4520001,4681805",GO,9325,Parceiros,1,0,0,0,0,0
2037,,13563680,28,13,4683400,"4644302,0141502,4661300,4622200,4789099,4623109,4618499,7490103",RO,7,Parceiros,1,1,0,0,0,0
2269,PARAISO MAQUINAS E IMPLEMENTOS AGRICOLAS,1838101,19,28,4661300,"4789099,4692300,4612500,4520001,3314711",GO,9287,Parceiros,1,0,0,1,0,0
2597,COMATRAL SHOWROOM,18361157,1,8,4661300,"3314711,4614100",MS,9073,Parceiros,1,0,0,1,0,0
3998,AGROMAQ,27059312,2,8,4661300,"4789099,3314711,3314712,4614100",BA,3485,Parceiros,1,0,0,1,1,0
4076,INDEPENDENCIA MAQUINAS,29885070,1,56,4661300,"3314711,3314712,4530703,4530705,4614100,4732600",GO,9433,Parceiros,1,0,0,1,1,0
4687,RC MAQUINAS,31587001,1,8,4661300,"3314712,4622200,4623101,4623199,4683400,6209100",MT,9925,Parceiros,1,1,0,0,1,0
5063,AGROFEL,89286116,43,0,4661300,"0161001,3314711,4530705,4623199,4683400,4789099",RS,8851,Parceiros,1,1,0,1,0,0
5417,AGRIMAQUINAS,24973838,2,0,4661300,"4520001,4530705,4732600",GO,9403,Parceiros,1,0,0,0,0,0
5823,M&V COMERCIO DE EQUIPAMENTOS AGRICOLAS,34877620,1,25,4661300,"2833000,3314711,4530701,4649402,4669999,4789099",PR,7583,Parceiros,1,0,0,1,0,0
5983,A.ALVES S/A,53309852,19,50,4661300,"3314711,3314712,4732600,4530705,4512901,4530703,4520001,4511101",SP,6425,Parceiros,1,0,0,1,1,0
8218,IRRIPLAN MAQUINAS,19393807,2,40,4661300,"4520001,4530706,4612500,4614100,4618499,4623106,4632001,4683400,4744005,4763604,7490103",TO,9385,Parceiros,1,1,0,0,0,0
9976,SCOLARI REPRESENTACOES,5203870,1,81,4619200,4930202,BA,1112,Parceiros,0,0,0,0,0,1
10131,,7434474,1,90,4661300,"4732600,3314711,2950600,4512901,2539001",MT,9831,Parceiros,1,0,0,1,0,0
10630,,10126,5,70,4661300,"4520005,4614100,6810202,4520002",SP,6795,Parceiros,1,0,0,0,0,0
10968,PINESSO MAQUINAS,1113855,2,72,4661300,"4511104,4669999,4530701,4530702,4520001,4681805,4683400,4520002,4614100,4612500,3314712,7731400,0161099",MT,9871,Parceiros,1,1,0,0,1,0
14007,FALCAO TRATORES E EQUIPAMENTOS,36821288,1,2,4661300,"4520001,4530701,4530703,4614100,4732600,4789099,4930201,4930202",MS,9123,Parceiros,1,0,0,0,0,0
