,cnpj_basico,cnpj_ordem,cnpj_dv,id_matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,pais,data_inicio_ativ,cnae_princ,cnaes_sec,tipo_lograd,lograd,numero,complemento,bairro,cep,uf,municipio,ddd_1,telefone_1,ddd_2,telefone_2,ddd_fax,fax,email,situacao_especial,data_situacao_especial,cnpj,porte
84254,23110636,1,91,1,TECNOMAQ,2,20150821,0,,,20150821,3314711,4530703,RUA,DAS ESMERALDAS QD. 17 LT. 08,SN,,IORIS,75830002.0,GO,9459,64.0,99898592.0,,,,,,,,23110636000191,Parceiros
199093,24445815,1,42,1,JONAS DE OLIVEIRA DA ROSA,2,20160323,0,,,20160323,4683400,"4520001,4930201,4930202",RUA,TREZE DE MAIO,245,,PRO MORAR,99840000.0,RS,8835,54.0,33432013.0,,,,,,,,24445815000142,Parceiros
203621,24497899,1,68,1,CAMPO VALE,2,20160330,0,,,20160330,4661300,"3314711,4512901,4520001,4530703,4530704,4611700,7319003,7490104",AVENIDA,INDUSTRIAL,50,QUADRA1                   LOTE  1,INDUSTRIAL I,78635000.0,MT,9191,66.0,30223725.0,,,,,TOTALATENDIMENTO@HOTMAIL.COM,,,24497899000168,Parceiros
207142,1838101,20,61,2,PARAISO MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA,2,20160406,0,,,20160406,4661300,"4789099,4692300,4612500,4520001,3314711",AVENIDA,MACARIO SUBTIL DE OLIVEIRA,1190,,CENTRO,78785000.0,MT,9911,64.0,36319935.0,,,,,,,,1838101002061,Parceiros
387522,20800575,3,68,2,BTG PRODUTOS E SERVICOS,2,20140808,0,,,20140808,4661300,"0161003,3314711,3314712,4511102,4511103,4512901,4512902,4520001,4530701,4530702,4530703,4530704,4530705,4530706,4611700,4614100,4619200,4623108,4642701,4643501,4681805,4732600,4763601,4781400,4930201,4930202,4930204,7490104,7731400,8599604",RUA,JOSE AUGUSTO MALGARIN BUZATA,700,,QUINHAO VI,79490000.0,MS,9809,67.0,32957500.0,,,,,,,,20800575000368,Parceiros
494889,26128873,1,78,1,PRECISAO AGRICOLA,2,20160831,0,,,20160831,3314711,9511800,RUA,DAS PRIMAVERAS,1059-W,,BANDEIRANTES,78455000.0,MT,9925,65.0,35494666.0,,,,,UNICASERVICOSCONTABEIS@HOTMAIL.COM,,,26128873000178,Parceiros
587648,27244983,1,68,1,S.S. MANUTENCAO DE MAQUINAS AGRICOLA,2,20170307,0,,,20170307,3314711,,RUA,LUCIANO MARMONTEL,294,,JARDIM RESIDENCIAL ARAUCARIA,87301420.0,PR,7483,44.0,99940086.0,,,,,silvanosenko@hotmail.com,,,27244983000168,Parceiros
631380,27773737,1,1,1,,2,20170519,0,,,20170519,3314711,4789099,AVENIDA,MARECHAL FLORIANO PEIXOTO,3324,SALA  3,CENTRO,79904580.0,MS,9131,67.0,96688228.0,,,,,VLADIMIRPIRES8@GMAIL.COM,,,27773737000101,Parceiros
699739,13563680,30,38,2,,2,20170905,0,,,20170905,4683400,"4618499,4622200,4623109,4623199,4644302,4661300,4789099,7490103",AVENIDA,PIONEIRO JOSE NELSON COUTINHO,460,LOTE  828,JARDIM AEROPORTO,78520000.0,MT,9887,65.0,33192000.0,65.0,33192083.0,,,CONTABIL@AGROAMAZONIA.COM,,,13563680003038,Parceiros
887449,45942349,17,48,2,,2,20180625,0,,,20180625,4661300,"4512901,4520001",AVENIDA,BANDEIRANTES,695,,JARDIM MARIA AUGUSTA,12070100.0,SP,7183,11.0,50911502.0,,,,,CONTATO@PLATE.COM.BR,,,45942349001748,Parceiros
